06-06-18_22-58-49-823 |    500 |     32 | 4.500000e-01 |     12 | 
06-06-18_23-00-38-562 |    500 |     32 | 4.500000e-01 |     12 | 
06-06-18_23-01-21-523 |    500 |     32 | 4.500000e-01 |     12 | 
06-06-18_23-01-28-898 |    500 |     32 | 4.500000e-01 |     12 | 
06-06-18_23-02-16-130 |    500 |     32 | 4.500000e-01 |     12 | 
06-06-18_23-02-28-758 |    500 |     32 | 4.500000e-01 |     12 | 
06-06-18_23-02-39-732 |    500 |     32 | 4.500000e-01 |     12 | 
06-06-18_23-03-03-348 |    500 |     32 | 4.500000e-01 |     12 | 
06-06-18_23-07-41-374 |   1000 |     32 | 4.500000e-01 |     12 | 
06-06-18_23-08-18-760 |   1000 |     32 | 4.500000e-01 |     12 | 
06-06-18_23-08-26-358 |   1000 |     32 | 4.500000e-01 |     12 | 
06-06-18_23-08-34-279 |   1000 |     32 | 4.500000e-01 |     12 | 
06-06-18_23-09-24-420 |   1000 |     32 | 4.500000e-01 |     12 | 
06-06-18_23-09-36-578 |   1000 |     32 | 4.500000e-01 |     12 | 
06-06-18_23-09-48-198 |   1000 |     32 | 4.500000e-01 |     12 | 
06-06-18_23-10-08-534 |   1000 |     32 | 4.500000e-01 |     12 | 
06-06-18_23-10-29-535 |   1000 |     32 | 4.500000e-01 |     12 | 
06-06-18_23-10-46-463 |   1000 |     32 | 4.500000e-01 |     12 | 
06-06-18_23-11-06-814 |   1000 |     32 | 4.500000e-01 |     12 | 
06-06-18_23-11-49-554 |   5000 |     32 | 4.500000e-01 |     12 | 
06-06-18_23-12-10-835 |   5000 |     32 | 4.500000e-01 |     12 | 
06-06-18_23-12-36-129 |   5000 |     32 | 4.500000e-01 |     12 | 
