03-06-18_00-05-18-434 |    100 |     64 |          2          3          4          8         16         32 |     0.540      0.400      0.460      0.680      0.800      0.900 |
03-06-18_00-12-56-912 |    100 |    128 |          2          3          4          8         16         32 |     0.780      0.420      0.400      0.520      0.700      0.840 |
03-06-18_00-28-03-259 |    100 |    256 |          2          3          4          8         16         32 |    -1.000      0.800      0.480      0.320      0.620      0.780 |
03-06-18_01-00-44-769 |    100 |    512 |          2          3          4          8         16         32 |    -1.000     -1.000     -1.000      0.360      0.380      0.680 |
03-06-18_01-05-48-271 |    500 |     32 |          2          3          4          8         16         32 |     0.520      0.620      0.720      0.820      0.900      0.940 |
03-06-18_01-10-30-757 |    500 |     64 |          2          3          4          8         16         32 |     0.460      0.500      0.620      0.760      0.860      0.920 |
03-06-18_01-18-41-361 |    500 |    128 |          2          3          4          8         16         32 |     0.560      0.440      0.460      0.660      0.800      0.880 |
03-06-18_01-34-46-801 |    500 |    256 |          2          3          4          8         16         32 |     0.660      0.540      0.400      0.500      0.700      0.840 |
03-06-18_02-06-49-683 |    500 |    512 |          2          3          4          8         16         32 |    -1.000      0.980      0.580      0.300      0.600      0.760 |
03-06-18_13-52-08-863 |   1000 |     32 |          2          3          4          8         16         32 |     0.480      0.580      0.700      0.820      0.900      0.940 |
03-06-18_13-54-47-600 |   1000 |     64 |          2          3          4          8         16         32 |     0.540      0.540      0.640      0.760      0.880      0.940 |
03-06-18_13-59-27-607 |   1000 |    128 |          2          3          4          8         16         32 |     0.520      0.420      0.380      0.680      0.800      0.900 |
03-06-18_14-08-29-671 |   1000 |    256 |          2          3          4          8         16         32 |     0.680      0.520      0.400      0.580      0.720      0.860 |
03-06-18_14-26-01-478 |   1000 |    512 |          2          3          4          8         16         32 |    -1.000      0.740      0.480      0.380      0.620      0.780 |
03-06-18_14-29-50-712 |   5000 |     32 |          2          3          4          8         16         32 |     0.580      0.620      0.660      0.820      0.900      0.940 |
03-06-18_14-33-45-727 |   5000 |     64 |          2          3          4          8         16         32 |     0.460      0.540      0.680      0.820      0.880      0.940 |
03-06-18_14-39-53-523 |   5000 |    128 |          2          3          4          8         16         32 |     0.500      0.500      0.600      0.740      0.840      0.920 |
03-06-18_14-50-33-593 |   5000 |    256 |          2          3          4          8         16         32 |     0.600      0.380      0.400      0.640      0.780      0.880 |
03-06-18_15-10-05-834 |   5000 |    512 |          2          3          4          8         16         32 |     0.860      0.540      0.360      0.480      0.680      0.820 |
03-06-18_15-20-59-104 |  10000 |     32 |          2          3          4          8         16         25         32 |     0.500      0.640      0.640      0.800      0.900      0.920      0.940 |
03-06-18_15-28-18-663 |  10000 |     64 |          2          3          4          8         16         25         32 |     0.600      0.580      0.720      0.800      0.880      0.920      0.940 |
03-06-18_15-38-53-385 |  10000 |    128 |          2          3          4          8         16         25         32 |     0.520      0.560      0.620      0.760      0.880      0.920      0.920 |
03-06-18_15-55-57-995 |  10000 |    256 |          2          3          4          8         16         25         32 |     0.540      0.380      0.440      0.640      0.820      0.860      0.900 |
03-06-18_16-25-53-115 |  10000 |    512 |          2          3          4          8         16         25         32 |     0.780      0.480      0.360      0.520      0.720      0.820      0.840 |
03-06-18_17-24-02-704 |  10000 |   1024 |          2          3          4          8         16         25         32 |    -1.000      0.840      0.500      0.340      0.600      0.720      0.760 |
12-06-18_09-55-21-700 |    500 |     64 |          2          3          4          8         16         25         32         64 |     0.440      0.500      0.580      0.760      0.860      0.900      0.920      0.960 |

12-06-18_10-01-13-594 |     50 |     64 |          2          3          4          8         16         25         32 |     0.640      0.440      0.440      0.620      0.780      0.840      0.880 |

12-06-18_10-10-41-997 |    100 |     64 |          2          3          4          8         16         25         32 |     0.560      0.380      0.460      0.680      0.800      0.860      0.880 |

13-06-18_13-06-46-159 |     50 |     32 |          2          3          4          8         16         25         32 |     0.540      0.520      0.540      0.720      0.840      0.880      0.900 |

13-06-18_14-09-25-765 |     50 |     32 |          2          3          4          8         16         25         32 |     0.480      0.460      0.580      0.720      0.840      0.900      0.920 |

13-06-18_14-12-37-788 |     50 |     32 |          2          3          4          8         16         25         32 |     0.480      0.520      0.560      0.720      0.840      0.880      0.920 |

13-06-18_14-15-52-090 |     50 |     32 |          2          3          4          8         16         25         32 |     0.520      0.480      0.580      0.720      0.820      0.880      0.920 |

13-06-18_14-18-51-256 |     50 |     32 |          2          3          4          8         16         25         32 |     0.500      0.480      0.540      0.740      0.840      0.880      0.920 |

13-06-18_15-53-32-697 |   5000 |     32 |          2          3          4          8         16         25         32 |     0.540      0.600      0.660      0.820      0.900      0.920      0.940 |
19-06-18_13-53-58-090 |   5000 |     32 |          2          3          4          8         16         25         32 |     0.520      0.620      0.700      0.820      0.900      0.920      0.940 |
